"Reference","Value","Footprint","Qty","DNP","MPN","Description"
"C1,C2","0.1u","000_LOCAL:C_0805","2","","885012207045","CAP CER 0.1UF 16V X7R 0805"
"C3","4.7u","000_LOCAL:C_0805","1","","GRM21BR71C475KE51L","CAP CER 4.7UF 16V X7R 0805"
"C4","10n","000_LOCAL:C_0805","1","","885012207039","CAP CER 10000PF 16V X7R 0805"
"FB1","40-1.5A","000_LOCAL:L_0805","1","","MH2029-400Y","FERRITE BEAD 40 OHM 0805 1LN"
"J1","GSB1C411101DS1HR","000_LOCAL:USBC_Receptacle_16pin_top_mount","1","","GSB1C411101DS1HR","USB 2.0-only 16P Type-C Receptacle connector"
"J2","112-036-213R001","000_LOCAL:Centronics_36F_RA_THT","1","","112-036-213R001","Centronics 36pin female 0.85 pitch"
"LED1,LED2","LTL-307GLC","000_LOCAL:LED_D5.0mm","2","","LTL-307GLC","Light emitting diode"
"N1","Housing","000_LOCAL:Housing_CN36_shell_snap","1","","","Housing"
"Q1,Q2","SL2301S","000_LOCAL:SOT-23","2","","SL2301S","P-Channel MOSFET, SOT-23"
"R1,R2","5K1","000_LOCAL:R_0805","2","","RC0805FR-075K1L","RES 5K1 OHM 1% 1/8W 0805"
"R3,R4,R5,R6,R7","10k","000_LOCAL:R_0805","5","","RC0805JR-0710KL","RES 10K OHM 5% 1/8W 0805"
"RA1,RA2,RA3,RA4","100r","000_LOCAL:R_Array_Convex_4x0603","4","","CAY16-101J4LF","RES ARRAY 4 RES 100 OHM 1206 convex"
"U1","FT245RL","000_LOCAL:SSOP-28","1","","FT245RNL","IC USB TO PARALLEL FIFO 28-SSOP"
