"Reference","Value","Qty","DNP","MPN"
"C1,C2","0.1u","2","","885012207045"
"C3","4.7u","1","","GRM21BR71C475KE51L"
"C4","10n","1","","885012207039"
"FB1","40-1.5A","1","","MH2029-400Y"
"J1","USB3155-30-A","1","","USB3155-30-A"
"J2","DB25P064TXLF","1","","DB25P064TXLF"
"LED1","ONLINE","1","","LS R976-NR-1-0-20-R18"
"LED2","SELECT","1","","LS R976-NR-1-0-20-R18"
"N1","956-025-010R031","1","","956-025-010R031"
"Q1,Q2","SL2301S","2","","SL2301S"
"R1,R2,R3,R4,R5,R6","10k","6","","RC0805JR-0710KL"
"RA1,RA2,RA3","100r","3","","CAY16-101J4LF"
"U1","FT245RL","1","","FT245RNL"
